2023-07-18 12:13:34 [@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-19 11:26:59 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-19 11:27:00 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-19 11:32:24 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-19 12:01:50 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 12:02:14 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 16:01:45 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 16:01:47 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 16:07:40 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 16:08:38 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 16:10:53 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 16:10:56 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 16:23:19 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/front/ticket.form.php?id=8342023-07-19 16:23:46 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 16:23:48 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 16:40:21 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 16:40:25 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 17:04:30 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 17:19:29 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-19 17:19:43 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-19 17:19:49 [124@GS003021]
CSRF check failed for User ID: 124 at /glpi108/ajax/itillayout.php2023-07-19 17:21:46 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-19 17:23:27 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 17:23:39 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-19 17:23:39 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-19 17:23:57 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 17:23:58 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 17:23:58 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/front/ticket.form.php?id=9652023-07-19 17:24:03 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/front/ticket.form.php?id=9652023-07-19 17:24:13 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 17:24:19 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-19 17:24:19 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/comments.php2023-07-19 17:24:23 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 17:26:55 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/front/ticket.form.php?id=9652023-07-19 17:27:01 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 17:27:16 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-19 17:27:26 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-19 17:27:27 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-19 17:27:31 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-19 17:27:44 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-19 17:27:45 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-19 17:27:48 [22@GS003021]
CSRF check failed for User ID: 22 at /glpi108/ajax/itillayout.php2023-07-19 17:48:41 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 17:48:41 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 17:49:50 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 17:49:51 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 17:49:52 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 17:49:53 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 18:00:02 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 18:00:02 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 18:00:03 [2@GS003021]
CSRF check failed for User ID: 2 at /glpi108/ajax/itillayout.php2023-07-19 18:00:03 [2@GS003021]
